filename,sf,droid
govdocs_selected\PDF_2695\README,x-fmt/111,UNKNOWN
govdocs_selected\PUB_4\README,x-fmt/111,UNKNOWN
govdocs_selected\PS_19\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1326\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2456\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_363\README,x-fmt/111,UNKNOWN
govdocs_selected\DOC_74\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2189\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2052\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2482\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2515\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_188\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1737\README,x-fmt/111,UNKNOWN
govdocs_selected\HTML_134\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1163\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1578\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1699\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2527\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2955\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1775\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2104\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3204\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3133\README,x-fmt/111,UNKNOWN
govdocs_selected\HTML_12\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1129\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_265\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3274\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2058\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_208\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_123\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1645\README,x-fmt/111,UNKNOWN
govdocs_selected\TXT_5\652757.unk,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2256\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2162\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2427\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1289\README,x-fmt/111,UNKNOWN
govdocs_selected\JAVA_8\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_997\README,x-fmt/111,UNKNOWN
govdocs_selected\XLS_37\README,x-fmt/111,UNKNOWN
govdocs_selected\KML_5\README,x-fmt/111,UNKNOWN
govdocs_selected\DOC_61\README,x-fmt/111,UNKNOWN
govdocs_selected\XLS_178\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3122\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2553\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_941\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1521\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_98\657461.text,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1157\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1658\README,x-fmt/111,UNKNOWN
govdocs_selected\PPT_48\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_812\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1478\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_40\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_284\README,x-fmt/111,UNKNOWN
govdocs_selected\TXT_5\652355.unk,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1564\README,x-fmt/111,UNKNOWN
govdocs_selected\PS_48\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3255\README,x-fmt/111,UNKNOWN
govdocs_selected\HTML_23\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1223\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_169\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2312\README,x-fmt/111,UNKNOWN
govdocs_selected\GIF_6\README,x-fmt/111,UNKNOWN
govdocs_selected\XLS_36\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1055\README,x-fmt/111,UNKNOWN
govdocs_selected\SWF_9\README,x-fmt/111,UNKNOWN
govdocs_selected\C_1\610078.unk,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2176\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_979\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_967\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_461\README,x-fmt/111,UNKNOWN
govdocs_selected\XLS_110\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1597\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_171\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_935\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3320\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1533\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1683\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2132\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2976\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_90\736046.text,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1269\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_184\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_157\README,x-fmt/111,UNKNOWN
govdocs_selected\PS_31\README,x-fmt/111,UNKNOWN
govdocs_selected\DOC_107\README,x-fmt/111,UNKNOWN
govdocs_selected\TXT_6\639982.unk,x-fmt/111,UNKNOWN
govdocs_selected\HTML_19\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_725\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1878\README,x-fmt/111,UNKNOWN
govdocs_selected\XLS_154\README,x-fmt/111,UNKNOWN
govdocs_selected\JPG_5\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1986\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1379\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1311\README,x-fmt/111,UNKNOWN
govdocs_selected\BMP_4\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3205\README,x-fmt/111,UNKNOWN
govdocs_selected\CSS_1\649377.unk,x-fmt/111,UNKNOWN
govdocs_selected\PDF_712\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2450\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2017\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_242\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2867\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2752\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_178\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3081\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_703\README,x-fmt/111,UNKNOWN
govdocs_selected\DOC_89\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_54\README,x-fmt/111,UNKNOWN
govdocs_selected\XLS_23\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_220\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1610\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2798\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_296\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1854\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1333\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1859\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1253\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1110\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1353\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2554\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2913\README,x-fmt/111,UNKNOWN
govdocs_selected\LOG_5\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2144\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_85\README,x-fmt/111,UNKNOWN
govdocs_selected\HTML_45\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1499\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_609\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2574\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3226\README,x-fmt/111,UNKNOWN
govdocs_selected\JAVA_7\README,x-fmt/111,UNKNOWN
govdocs_selected\HTML_81\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_80\README,x-fmt/111,UNKNOWN
govdocs_selected\HTML_138\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1885\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_878\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2360\README,x-fmt/111,UNKNOWN
govdocs_selected\DOC_67\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1865\README,x-fmt/111,UNKNOWN
govdocs_selected\PS_25\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3103\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_238\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3124\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2204\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_333\README,x-fmt/111,UNKNOWN
govdocs_selected\HTML_47\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1229\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1743\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2131\README,x-fmt/111,UNKNOWN
govdocs_selected\CGI_1\649592.unk,x-fmt/111,UNKNOWN
govdocs_selected\PDF_914\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_768\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_176\README,x-fmt/111,UNKNOWN
govdocs_selected\LOG_14\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1867\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1209\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_164\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2645\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3072\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2498\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_110\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_7\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_315\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2830\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_361\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_236\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2223\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1091\README,x-fmt/111,UNKNOWN
govdocs_selected\HLP_7\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_975\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_806\README,x-fmt/111,UNKNOWN
govdocs_selected\PPT_53\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1172\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2065\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3015\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_832\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_222\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1935\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1101\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2046\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2075\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1979\README,x-fmt/111,UNKNOWN
govdocs_selected\XLS_79\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_5\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2322\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_805\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1803\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1971\README,x-fmt/111,UNKNOWN
govdocs_selected\HTML_88\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1682\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_843\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_803\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1230\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1995\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2476\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3030\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2957\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1692\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3068\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2095\README,x-fmt/111,UNKNOWN
govdocs_selected\TXT_5\649162.unk,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3334\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_175\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_889\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1149\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1380\README,x-fmt/111,UNKNOWN
govdocs_selected\XLS_65\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2460\README,x-fmt/111,UNKNOWN
govdocs_selected\SWF_11\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_382\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2611\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_203\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_657\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1020\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1165\README,x-fmt/111,UNKNOWN
govdocs_selected\SQL_7\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2164\README,x-fmt/111,UNKNOWN
govdocs_selected\SQL_8\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1954\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2734\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2252\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2190\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_505\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_181\README,x-fmt/111,UNKNOWN
govdocs_selected\XLS_31\README,x-fmt/111,UNKNOWN
govdocs_selected\DOC_65\README,x-fmt/111,UNKNOWN
govdocs_selected\DOC_142\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_297\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_48\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1315\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1927\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2082\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_134\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_104\README,x-fmt/111,UNKNOWN
govdocs_selected\XLS_124\README,x-fmt/111,UNKNOWN
govdocs_selected\MBOX_1\633349.unk,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2055\README,x-fmt/111,UNKNOWN
govdocs_selected\JPG_21\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3219\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_770\README,x-fmt/111,UNKNOWN
govdocs_selected\XML_10\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_193\README,x-fmt/111,UNKNOWN
govdocs_selected\XLS_54\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3229\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1393\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1558\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_730\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3094\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1405\README,x-fmt/111,UNKNOWN
govdocs_selected\TMP_15\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_847\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2999\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2313\README,x-fmt/111,UNKNOWN
govdocs_selected\HTML_122\README,x-fmt/111,UNKNOWN
govdocs_selected\DOCX_3\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1614\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_72\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2509\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2288\README,x-fmt/111,UNKNOWN
govdocs_selected\CSV_21\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2934\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2338\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1170\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2323\README,x-fmt/111,UNKNOWN
govdocs_selected\HTML_11\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_202\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_437\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2439\README,x-fmt/111,UNKNOWN
govdocs_selected\XLS_14\README,x-fmt/111,UNKNOWN
govdocs_selected\CSV_32\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2690\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1284\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1829\README,x-fmt/111,UNKNOWN
govdocs_selected\HTML_43\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_196\README,x-fmt/111,UNKNOWN
govdocs_selected\XML_12\README,x-fmt/111,UNKNOWN
govdocs_selected\DOC_114\README,x-fmt/111,UNKNOWN
govdocs_selected\DOC_24\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1613\README,x-fmt/111,UNKNOWN
govdocs_selected\XLSX_3\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2424\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_557\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_936\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2154\README,x-fmt/111,UNKNOWN
govdocs_selected\HTML_85\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3069\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1418\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1187\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1549\README,x-fmt/111,UNKNOWN
govdocs_selected\DOC_127\README,x-fmt/111,UNKNOWN
govdocs_selected\XLS_80\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_145\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1899\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1151\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3042\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_86\026538.text,x-fmt/111,UNKNOWN
govdocs_selected\PDF_352\README,x-fmt/111,UNKNOWN
